origin_text	ner_tagged_text
삼성전자는 ‘사회가 건강해야 기업도 발전할 수 있다’는 철학을 바탕으로 밝고 희망적인 세상을 만들기 위해 다양한 사회공헌 활동을 전개해 왔다.	삼성전자[ORG]는 ‘사회가 건강해야 기업도 발전할 수 있다’는 철학을 바탕으로 밝고 희망적인 세상을 만들기 위해 다양한 사회공헌 활동을 전개해 왔다.
IS 지도자의 측근이라면서 “시리아로 오면 좋은 아파트에 살게 해주겠다”더랍니다.	IS[ORG] 지도자의 측근이라면서 “시리아로 오면 좋[LOC]은 아파트에 살게 해주겠다”더랍니다.
특히 그룹 내 외모 담당을 맡고 있는 쯔위의 아름다운 미모와 늘씬한 각선미가 눈길을 끌었다.	특히 그룹 내 외모 담당을 맡고 있는 쯔위[PER]의 아름다운 미모와 늘씬한 각선미가 눈길을 끌었다.
미국 국무부는 27일(현지시간) 전세계 인신매매 실태를 조사해 발표하는 연례보고서에서 인신매매 방지 활동과 관련해 북한을 2003년 이후 13년째 최하 등급인 3등급으로 지정했다.	미국 국무부[ORG]는 27일[DAT](현지시간) 전세계 인신매매 실태를 조사해 발표하는 연례보고서에서 인신매매 방지 활동과 관련해 북한[ORG]을 2003년[DAT] 이후 13년[DUR]째 최하 등급인 3등급[NOH]으로 지정했다.
특히 아프리카TV와의 결별을 선언한 대도서관, 밴쯔 등도 후보에 이름을 올려 눈길을 끌었다.	특히 아프리카TV[ORG]와의 결별을 선언한 대도서관[PER], 밴쯔[PER] 등도 후보에 이름을 올려 눈길을 끌었다.
반면, 한국은 인신매매 근절을 위한 정부 차원의 노력이 가장 우수한 1등급을 13년째 유지했다.	반면, 한국[ORG]은 인신매매 근절을 위한 정부 차원의 노력이 가장 우수한 1등급[NOH]을 13년[DUR]째 유지했다.
매년 물가상승률분인 5%가 증액되는 구조라 그 다음 해는 지급되는 보험금이 매월 210만 원으로 오른다.	매년 물가상승률분인 5%[PNT]가 증액되는 구조라 그 다음 해는 지급되는 보험금이 매월 210만 원[MNY]으로 오른다.
또 “일부 한국 남성이 베트남이나 캄보디아, 몽골, 필리핀에서 아동 성매매 관광에 관여하는 경우가 있다”고 밝혔다.	또 “일부 한국 남성이 베[ORG]트남이나 캄보[LOC]디아, 몽골,[LOC] 필리핀[LOC]에서 아동[LOC] 성매매 관광에 관여하는 경우가 있다”고 밝혔다.
‘마법의 성’을 만든 ‘더클래식’의 박용준, ‘들국화’의 베이시스트 민재현, 이승환 밴드의 최기웅, 옥수사진관의 노경보, 이상순, 전제덕 등이 참여했다.	‘마법의 성’을 만든[POH] ‘더클래식’의 박용준, ‘들국화’의[ORG] 베이시스트 민재현,[PER] 이승환 밴드의 최기웅[ORG], 옥수사진관의 노경보, 이상순[PER], 전제덕[PER] 등이 참여했다[PER].
[안영배 전문기자의 풍수와 삶]‘뻥’ 풍수는 이제 그만!	[안영배 전문기자의 풍수와 삶]‘뻥’[POH] 풍수는 이제 그만!
25일 오후 조선 왕릉 9개가 있는 경기 구리시 동구릉에 ‘마루’가 나타났다.	25일[DAT] 오후 조선[ORG] 왕릉 9개[NOH]가 있는 경기[LOC] 구리시[LOC] 동구릉[LOC]에 ‘마루’가 나타[PER]났다.
해피투게더 김신영 하차→전현무 투입…“내가 못해서 그만두는 것” 대인배 인증	해피투게더[POH] 김신영[PER] 하차→전현무 투입…“[PER]내가 못해서 그만두는 것” 대인배 인증
지성환 독주! 지존 시대를 열다.	지성환[PER] 독주! 지존 시대를 열다.
독일 뒤스부르크-에센대학 자동차연구소의 페르디난트 두덴회퍼 소장은 “폴크스바겐의 경우 다른 자동차회사와 전혀 다르다”고 설명했다.	독일 뒤스부르크-에센대학 자동차연구소[ORG]의 페르디난트 두덴회퍼[PER] 소장은 “폴크스바겐의 경우 다[ORG]른 자동차회사와 전혀 다르다”고 설명했다.
한편 버버리는 신세계 그룹과의 디지털 협업을 통해 9일 신세계 온라인몰인 SSG.COM(www.ssg.com)에 공식 온라인 스토어를 오픈했다.	한편 버버리[ORG]는 신세계 그룹[ORG]과의 디지털 협업을 통해 9일[DAT] 신세계[ORG] 온라인몰인 SSG.COM[POH](www.ssg.com[POH])에 공식 온라인 스토어를 오픈했다.
이들은 2010년 1월부터 지난해 8월까지 박씨가 담임 목사로 있는 교회의 신도와 그들의 지인 등 150여 명을 상대로 투자금 명목 197억여원을 가로챈 혐의를 받고 있다.	이들은 2010년 1월[DAT]부터 지난해 8월[DAT]까지 박[PER]씨가 담임 목사로 있는 교회의 신도와 그들의 지인 등 150여 명[NOH]을 상대로 투자금 명목 197억여원[MNY]을 가로챈 혐의를 받고 있다.
한편 ‘이현우의 음악앨범’ 은 매일 오전 9시 KBS COOL FM(89.1Mhz)을 통해 들을 수 있으며, 매주 화요일 ‘유부를 부탁해’ 코너는 대한민국 대표 유부남 권오중, 심현보와 다양한 결혼 생활에 대한 공감 토크로 큰 인기를 얻고 있다.	한편 ‘이현우의 음악앨범’ 은 매일[POH] 오전 9시 KBS COOL F[TIM]M(89.1Mhz[POH])을 통해 들을 수 있[NOH]으며, 매주 화요일 ‘유부를 부탁해’[DAT] 코너는 대한민국 대표 유부[POH]남 권오중, 심현보와 다양한[ORG] 결혼 생활에 대한 공[PER]감 토크로[PER] 큰 인기를 얻고 있다.
휠라 관계자는 “스테파니의 건강한 바디 라인과 에너지 넘치는 매력이 휠라 핫써머 컬렉션과 잘 어우러져 멋진 화보가 나왔다”며 “올 여름 스테파니의 핫써머 룩을 참고하면 스타일과 실용성 모두를 만족할 수 있을 것”이라고 밝혔다.	휠라[ORG] 관계자는 “스테파니의 건강한[PER] 바디 라인과 에너지 넘치는 매력이 휠라 핫써머 컬[ORG]렉션과 잘 어우러져 멋진 화보가 나왔다”며 “올 여름 스테파니의 핫써머 룩을 참고하면 스타[PER]일과 실용성 모두를 만족할 수 있을 것”이라고 밝혔다.
이 일대 농민들은 내가천 물을 가두는 망월양수장 바닥에 남아있던 물을 자가 양수기를 통해 논으로 끌어왔다.	이 일대 농민들은 내가천 물을 가두는 망월양수장[LOC] 바닥에 남아있던 물을 자가 양수기를 통해 논으로 끌어왔다.
그러나 현지인들에 따르면 최근 3, 4년 사이 새로 생겨난(한식재단 정보에 없는) 한식당이 10여 곳이나 된다.	그러나 현지인들에 따르면 최근 3[NOH], 4년[NOH] 사이 새로 생겨난(한식재단[ORG] 정보에 없는) 한식당이 10여 곳[NOH]이나 된다.
첫째, 중국은 한국의 최대 수출시장으로 대 중국 수출은 연간 국내총생산(GDP)의 10% 이상, 전체 수출의 약 25%를 차지한다.	첫째, 중국[ORG]은 한국[ORG]의 최대 수출시장으로 대 중국[ORG] 수출은 연간 국내총생산(GDP)의 10%[PNT] 이상, 전체 수출의 약 25%[PNT]를 차지한다.
A 씨는 장례비가 없어 가족들에게 영아의 장례를 부탁한 것으로 추정하고 있다.	A[PER] 씨는 장례비가 없어 가족들에게 영아[PER]의 장례를 부탁한 것으로 추정하고 있다.
금·은화는 순도 99.9%의 순금과 순은을 사용했다.	금·은화는 순도 99.9%[POH]의 순금과 순은을 사용했다.
‘중국이 강한 대북 제재에 나설 것 같냐’는 질문엔 “중국 안에서 ‘김정은을 안고 가면 무슨 일이 벌어질지 모른다’는 우려가 많다.	‘중국이 강한 대[ORG]북 제재에 나설 것 같냐’는 질문엔 “중국 안에서 ‘김정은을 안고 가면[ORG] 무슨 일이 벌어질지 모른다[PER]’는 우려가 많다.
팔 수술을 담당했던 최윤락 세브란스병원 정형외과 교수는 “힘줄 근육 2개가 부분 파열됐고, 신경 손상이 일부 있었다”며 “봉합수술을 했고, 4주 정도 고정하면 기능적으로 큰 문제는 없을 것”이라고 밝혔다.	팔 수술을 담당했던 최윤락[PER] 세브란스병원[ORG] 정형외과 교수는 “힘줄 근육 2개가 부분 파[NOH]열됐고, 신경 손상이 일부 있었다”며 “봉합수술을 했고, 4주 정도 고정하면 기능적으로 큰[DUR] 문제는 없을 것”이라고 밝혔다.
여기에 「러시아판 3D현상」도 외국인 인력의 유입을 부채질하고 있다.	여기에 「러시아판 3D현상」도 외국[POH]인 인력의 유입을 부채질하고 있다.
우진원 디자이너는 허벅지부터 발끝까지 지퍼가 길게 달린 통 넓은 청바지와 발목까지 내려오는 길이의 통 넓은 청치마를 ‘로켓런치’ 패션쇼에 올렸다.	우진원[PER] 디자이너는 허벅지부터 발끝까지 지퍼가 길게 달린 통 넓은 청바지와 발목까지 내려오는 길이의 통 넓은 청치마를 
영화 ‘내부자들’에서 배우 이병헌이 입고 나와 화제를 모았던 호랑이 자수가 새겨진 스카잔이 이번 패션위크에서도 인기를 끌었다.	영화 ‘내부자들’에서 배[POH]우 이병헌이 입고 나와 화제를[PER] 모았던 호랑이 자수가 새겨진 스카잔이 이번 패션위크에서도 인기를 끌었다.
이제까지 세 팀과의 상대 전적은 19전 19패(4득점, 258실점)다.	이제까지 세 팀과의 상대 전적은 19전[NOH] 19패[NOH](4득점[NOH], 258실점[NOH])다.
2박3일에 60만원… 사회문제 불러	2박[NOH]3일[NOH]에 60만원[MNY]… 사회문제 불러
힐러리 대선 출마 선언, SNS에 “내가 챔피언 될 것”	힐러리[PER] 대선 출마 선언, SNS에 “내가 챔피언 될 것”
당시 존슨은 호주 북부 다윈에서 비행을 마쳤으며 11년 후 영국에서 비행사고로 숨졌다.	당시 존슨[PER]은 호주 북부 다윈[LOC]에서 비행을 마쳤으며 11년[DAT] 후 영국[LOC]에서 비행사고로 숨졌다.
박 대통령은 또 “최근 구조조정으로 어려움을 겪는 지역들이 있다”며 “거제의 해금강, 울산의 십리대숲을 비롯해 특색 있고 매력적인 관광 휴양지를 적극 발굴해 알리길 바란다”고 주문했다.	박[PER] 대통령은 또 “최근 구조조정으로 어려움을 겪는 지역들이 있다”며 “거제의 해금강, 울산의 십리대숲[LOC]을 비롯해[LOC] 특색 있[LOC]고 매력적인[LOC] 관광 휴양지를 적극 발굴해 알리길 바란다”고 주문했다.
북한 문제에 대해선 “북한이 사회 내부의 갈등을 노리고 국제적으로는 대북 국제공조 체제를 균열시키기 위해 여러 시도를 하고 있다”며 “이럴 때일수록 분열되지 않고 하나 되는 모습을 보여야 한다”고 말했다.	북한[ORG] 문제에 대해선 “북한이 사회 내[ORG]부의 갈등을 노리고 국제적으로는 대북 국제공조 체제를 균열시키기 위해 여러 시도를 하고 있다”며 “이럴 때일수록 분열되지 않고 하나 되는 모습을 보여야 한다”고 말했다.
경북도와 포항시가 내년부터 영일만항 기반 확충에 힘을 쏟는다.	경북도[ORG]와 포항시[ORG]가 내년부터 영일만항 기반 확충에 힘을 쏟는다.
이에 익명의 청와대 관계자가 햇볕정책을 주도한 박 위원장을 향해 “북한에 약점 잡힌 게 있느냐”고 비판했고, 다시 박 위원장이 “떳떳하게 실명을 밝히라”고 되받는 논란을 벌였다.	이에 익명의 청와대[ORG] 관계자가 햇볕정책[POH]을 주도한 박[PER] 위원장을 향해 “북한에 약점 잡[ORG]힌 게 있느냐”고 비판했고, 다시 박 위원장이 “떳떳하[PER]게 실명을 밝히라”고 되받는 논란을 벌였다.
(※그는 ‘전관예우라는 악습은 타파돼야 한다’는 별도의 기고문을 통해 “어떤 여변호사는 대법원 사건을 맡기 위해 대법관 출신 변호사에게 도장값으로 3000만원을 먼저 줬다”면서 “하지만 의뢰인과 갈등이 생겨 수임료를 돌려주고도 자신은 대법관 출신 변호사에게 돈을 돌려받지 못했다”고 주장했다.	(※그는 ‘전관예우라는 악습은 타파돼야 한다’는 별도의 기고문을 통해 “어떤 여변호사는 대법원 사건을 맡기 위해 대법관 출신 변호사에[ORG]게 도장값으로 3000만원을 먼저 줬다”면서 “하지만 의뢰인과[MNY] 갈등이 생겨 수임료를 돌려주고도 자신은 대법관 출신 변호사에게 돈을 돌려받지 못했다”고 주장했다.
"빠르고 간결하게 만들면서 맛까지 놓치지 않는 백종원 레시피의 장점이 잘 담긴 노하우로, 백종원 본인도 ""이걸 너무 일찍부터 알려줘도 되나""라며 너스레를 떨었다."	"빠르고 간결하게 만들면서 맛까지 놓치지 않는 백종원[PER] 레시피의 장점이 잘 담긴 노하우로, 백종원[PER] 본인도 ""이걸 너무 일찍부터 알려줘도 되나""라며 너스레를 떨었다."
